Trial_id,Probe,Target,Ass_strength,Category,Wlevel,,,,Probe,,,,,,,,,Target,,,,,,,
63,disc,sport,1.0000000,low,1,,,,,6.87,7.17,3.08,0.9,4,575,-1,,,32.01,30.84,46.92,1.52,5,546,-1
64,toilet,sponge,1.0833333,low,1,,,,,23.18,23.92,13.85,1.38,6,632,-1,,,8.1,8.61,1.54,0.96,6,566,-1
65,salt,jellyfish,1.0905172,low,1,,,,,45.03,47.17,17.69,1.66,4,570,-1,,,1.79,1.87,0.77,0.45,9,-1,-1
66,wood,mountain,1.1666667,low,1,,,,,72.4,75.18,36.92,1.87,4,577,-1,,,46.31,49.4,6.92,1.67,8,629,-1
67,thunder,coast,1.1666667,low,1,,,,,10.95,11.75,0.77,1.08,7,554,526,,,48.1,48.73,40,1.69,5,588,605
68,debt,sovereign,1.1666667,low,1,,,,,25.31,26.51,10,1.42,4,283,-1,,,5.03,5.24,2.31,0.78,9,-1,-1
69,stork,roof,1.2916667,low,1,,,,,0.73,0.78,0,0.24,5,570,-1,,,46.42,48.86,15.38,1.68,4,604,413
70,fur,money,1.2916667,low,1,,,,,19.78,20.9,5.38,1.32,3,588,-1,,,403.69,391.39,560.77,2.61,5,604,-1
71,tongue,cake,1.3333333,low,1,,,,,33.63,35.48,10,1.54,6,628,-1,,,21.4,22.71,4.62,1.35,4,624,-1
72,keys,passport,1.3333333,low,1,,,,,16.48,17.05,9.23,1.24,4,-1,-1,,,26.93,28.67,4.62,1.45,8,546,-1
73,runner,cup,1.3362069,low,1,,,,,13.13,13.49,8.46,1.15,6,546,-1,,,60.84,63.07,32.31,1.79,3,558,-1
74,thermostat,mercury,1.4166667,low,1,,,,,1.4,1.39,1.54,0.38,10,-1,-1,,,12.51,13.37,1.54,1.13,7,521,-1
75,stool,cocktail,1.4791667,low,1,,,,,8.88,9.46,1.54,0.99,5,584,-1,,,8.21,8.8,0.77,0.96,8,604,-1
76,tape,book,1.4873188,low,1,,,,,28.38,21.81,112.31,1.47,4,573,-1,,,275.47,255.48,530.77,2.44,4,591,655
77,steak,money,1.5000000,low,1,,,,,8.16,8.49,3.85,0.96,5,647,-1,,,403.69,391.39,560.77,2.61,5,604,-1
78,duster,tiles,1.5000000,low,1,,,,,1.84,1.99,0,0.45,6,576,-1,,,6.48,6.99,0,0.87,5,-1,-1
79,goggles,towel,1.5000000,low,1,,,,,2.74,2.95,0,0.57,7,-1,-1,,,15.53,16.69,0.77,1.22,5,570,-1
80,nature,child,1.5833333,low,1,,,,,187.32,192.05,126.92,2.27,6,513,-1,,,427.09,441.2,246.92,2.63,5,619,-1
81, dinner,dog,1.5833333,low,1,,,,,91.12,95.54,34.62,1.96,6,590,-1,,,71.73,74.22,40,1.86,3,636,-1
82,hair ,navel,1.5833333,low,1,,,,,191.06,201.81,53.85,2.28,4,580,-1,,,3.41,3.67,0,0.64,5,546,-1
83,cat,wool,1.7291667,low,1,,,,,41.28,43.86,8.46,1.63,3,617,-1,,,21.45,22.83,3.85,1.35,4,586,-1
84,confetti,helium,1.8304598,low,1,,,,,1.17,1.27,0,0.34,8,-1,-1,,,5.14,3.67,23.85,0.79,6,-1,-1
85,chest,loot,2.0000000,low,2,,,,,43.46,46.14,9.23,1.65,5,551,-1,,,4.02,4.34,0,0.7,4,579,-1
86,wolf,sledge,2.0000000,low,2,,,,,6.7,6.93,3.85,0.89,4,610,616,,,1.06,1.14,0,0.31,6,-1,-1
87,worm,pear,2.0000000,low,2,,,,,7.37,7.53,5.38,0.92,4,578,-1,,,2.46,2.59,0.77,0.54,4,590,-1
88,boot,trail,2.0416667,low,2,,,,,9.72,10.24,3.08,1.03,4,604,-1,,,17.04,18.07,3.85,1.26,5,525,-1
89,sink,filter,2.0617816,low,2,,,,,26.2,27.65,7.69,1.43,4,611,547,,,3.8,3.86,3.08,0.68,6,341,-1
90,meal,liquid,2.0833333,low,2,,,,,53.07,54.7,32.31,1.73,4,573,378,,,28.44,28.13,32.31,1.47,6,587,557
91,speech,brief,2.0833333,low,2,,,,,75.75,75.72,76.15,1.89,6,447,-1,,,46.15,47.59,27.69,1.67,5,344,294
92,pot,hat,2.1041667,low,2,,,,,24.75,25.9,10,1.41,3,598,-1,,,53.07,55.18,26.15,1.73,3,562,-1
93,mud,harvester,2.1379310,low,2,,,,,29.22,31.02,6.15,1.48,3,582,-1,,,0.73,0.78,0,0.24,9,-1,-1
94,suitcase,bikini,2.1637931,low,2,,,,,12.29,13.13,1.54,1.12,8,-1,-1,,,1.96,2.11,0,0.47,6,-1,-1
95, childhood,marbles,2.1666667,low,2,,,,,42.18,44.34,14.62,1.64,9,489,-1,,,3.13,3.31,0.77,0.62,7,-1,-1
